customer_id,passed_funnel,city,shipping_state,shipping_zipcode,first_activity_at,attribution_channel,vendor,leadscore,q_age,q_apply,q_braces,q_budget,q_changes,q_clear_aligners,q_conditions,q_conditions1,q_conditions2,q_conditions3,q_dental_concerns,q_describe_teeth,q_finance_options,q_fsa_hsa,q_fsa_hsa_monthly,q_goals,q_happy,q_how_hear,q_hesitations,q_how_urgent,q_invisible_aligners,q_last_ortho,q_long,q_monthly,q_options_considering,q_ortho_checkup,q_referral,q_severity,q_teeth_spacing,q_urgency,q_whitening,q_why_interested,q_years_considering,q_zip,survey_started_at
277195,FALSE,,,,23:23.3,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266869,TRUE,Fort Washington,MD,20744,21:13.5,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301146,TRUE,Denver,CO,80238,07:51.0,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330316,TRUE,Austin,TX,78744-3067,18:27.1,direct,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265385,FALSE,Cumming,GA,30040,31:13.0,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269614,FALSE,,,,16:07.2,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281000,FALSE,,,,05:03.4,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283069,TRUE,Denver,CO,80202,36:57.2,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329892,TRUE,Tampa,FL,33626-1666,04:18.6,paid social,facebook/instagram,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283327,TRUE,Coeur D Alene,ID,83815,30:44.8,organic social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277812,FALSE,,,,48:10.6,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271692,FALSE,,,,32:14.8,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313689,TRUE,Tucson,AZ,85701,51:47.2,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268351,FALSE,,,,07:28.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322984,FALSE,,,,13:06.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283298,TRUE,Waldorf,MD,20603,40:26.4,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375975,TRUE,Riverview,FL,33578,11:08.0,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270945,FALSE,,,,09:16.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291148,TRUE,Orange,CA,92867,18:19.7,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336586,FALSE,,,,41:15.5,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321401,FALSE,La Habra,CA,90631,45:38.1,social,igshopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358992,TRUE,Ottawa,OH,45875-9222,20:32.5,paid search,google search,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267375,FALSE,,,,52:00.8,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285638,TRUE,Lomita,CA,90717,19:26.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266563,FALSE,,,,34:28.9,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325913,FALSE,Chicago,IL,60620,58:32.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272703,FALSE,Austin ,TX,78725,14:21.3,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272322,TRUE,New York,NY,10011,12:25.0,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325281,FALSE,Los Angeles,CA,90011,32:11.3,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319929,FALSE,,,,08:29.8,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295872,FALSE,Benton Harbor,MI,49022,11:01.2,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275940,FALSE,,,,23:25.4,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328070,FALSE,Austin,TX,78758,51:59.4,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277769,FALSE,Houston,TX,77064,05:50.5,direct,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338240,TRUE,San Fernando,CA,91340,56:47.7,paid social,facebook/instagram,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331618,TRUE,Mission,TX,78572,26:06.5,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273370,FALSE,,,,06:40.9,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302476,TRUE,katy,TX,77494,21:01.3,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335794,TRUE,Fort Wayne,IN,46804,21:10.0,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330550,TRUE,Portland,OR,97201,35:34.0,paid social,facebook/instagram,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265878,FALSE,Bronx,NY,10456,18:00.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273968,TRUE,Dallas,GA,30157,40:48.7,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269811,FALSE,,,,25:02.8,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328158,TRUE,Philadelphia,PA,19143,17:03.6,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369626,TRUE,Fort Worth,TX,76104,11:42.9,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277979,TRUE,Draper,UT,84020,00:25.6,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278123,FALSE,,,,41:41.2,organic social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273643,FALSE,Tarzana,CA,91356,36:15.2,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338280,TRUE,Miami,FL,33136,04:28.0,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271459,FALSE,Los Angeles ,CA,90015,33:55.6,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296706,TRUE,Berwyn,IL,60402,15:16.4,affiliate,shareasale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325159,FALSE,,,,53:55.8,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295254,TRUE,Manassas,VA,20111,01:58.2,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333530,FALSE,,,,07:48.2,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300648,TRUE,Compton,CA,90222,30:18.4,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268442,FALSE,Dallas,TX,75236,11:54.9,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318807,TRUE,Ozone Park,NY,11416,01:44.0,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265859,FALSE,,,,33:10.8,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307445,TRUE,Little River,SC,29566,47:48.3,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274450,FALSE,,,,36:35.8,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280377,FALSE,,,,16:47.8,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273371,TRUE,Kennesaw,GA,30144,07:53.6,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298378,TRUE,Carbondale,IL,62901,40:45.6,affiliate,shareasale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290370,FALSE,La puente,CA,91746,33:54.8,paid search,google search,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269764,TRUE,Harker Heights,TX,76548,42:01.8,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310449,FALSE,Lynn,MA,01905-3122,25:14.3,paid social,facebook/instagram,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328645,TRUE,Tampa,FL,33685,22:12.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273791,FALSE,,,,10:51.9,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313807,TRUE,Frederick,MD,21704-8044,01:20.3,direct mail,slm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267948,TRUE,Plainfield,IL,60586,28:10.5,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284203,TRUE,Victoria,MN,55386,50:03.8,affiliate,shareasale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267232,TRUE,San Diego,CA,92130-2419,43:44.5,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272517,FALSE,Kingsville,TX,78363,06:59.1,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270801,FALSE,,,,31:19.9,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325428,FALSE,,,,59:02.3,organic search,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272545,FALSE,,,,49:47.4,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
